attempt_id,session_id,unit_id,phase,task,llm_mode,selected_option,shown_at_epoch_ms,answered_at_epoch_ms,active_ms,hidden_ms,idle_ms,hidden_count,blur_count,had_background,is_valid,invalid_reason,created_at
4c372320-9043-40b5-abdb-3253b2e25074,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0001_sentence05,normal,llm,prompt1,IMPLICATION,1774336308927,1774336308927,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:11:50.443Z
3e19a9fc-9753-40f7-808e-1dfc9aa6ff69,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence01,normal,llm,prompt1,EXPLANATION,1774336413330,1774336413330,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:13:34.913Z
dca6d3d4-b5e0-4036-9ddd-f769020781cb,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence02,normal,llm,prompt1,EVALUATION,1774336413642,1774336413642,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:13:35.261Z
9897050a-60ff-4bd6-8845-c2398d357058,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence03,normal,llm,prompt1,RESPONSIBILITY,1774336414012,1774336414012,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:13:35.577Z
5b5c8130-1ddd-4b36-9a17-9ba566762b20,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence04,normal,llm,prompt1,APPLICATION,1774336414396,1774336414396,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:13:35.996Z
189fd2ee-ee26-4b62-93a5-d32499fe5ad0,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0002_sentence05,normal,llm,prompt1,IMPLICATION,1774336415057,1774336415057,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:13:36.747Z
fbdd2742-a3b5-46db-b745-61f0f129b836,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence01,normal,llm,prompt1,EXPLANATION,1774336555796,1774336555796,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:15:57.380Z
3163a47d-e8e3-4d35-bf60-6a41057dd05e,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence02,normal,llm,prompt1,EVALUATION,1774336556163,1774336556163,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:15:57.777Z
409264eb-95a7-4da5-b6e5-e1c840808e8b,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence03,normal,llm,prompt1,RESPONSIBILITY,1774336556613,1774336556613,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:15:58.107Z
5a287b42-eab2-433f-b46c-2c26926f0c3e,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence04,normal,llm,prompt1,APPLICATION,1774336556930,1774336556930,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:15:58.484Z
07d985ed-572f-4cfe-8b98-bf41efd06ef0,0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence05,normal,llm,prompt1,IMPLICATION,1774336557269,1774336557269,0,0,0,0,0,0,0,active_ms_too_low,2026-03-24T07:15:58.790Z
051cee87-2ddb-4e58-b882-1c8ea99cc887,0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence01,normal,manual,,EXPLANATION,1774334990499,1774335014840,24002,0,0,0,0,0,1,,2026-03-24T06:50:15.047Z
64e61ae8-d6d7-4c39-bce1-1bb3601a4a6c,0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence02,normal,manual,,APPLICATION,1774335015477,1774335033655,9501,0,8501,0,0,0,1,,2026-03-24T06:50:33.795Z
a1122341-0290-4cfa-9f75-18fec06c7b4b,0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence03,normal,manual,,IMPLICATION,1774335034084,1774335052314,9501,0,8500,0,0,0,1,,2026-03-24T06:50:52.404Z
24f6c387-de37-45fa-b129-2b2fe78ca410,0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence04,normal,manual,,EVALUATION,1774335052690,1774335081116,9501,0,18500,0,0,0,1,,2026-03-24T06:51:21.225Z
fbaa6dd4-7dd1-4774-957a-6e68d6c3f5b6,0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence05,normal,manual,,RESPONSIBILITY,1774335081509,1774335107226,9502,0,15999,0,0,0,1,,2026-03-24T06:51:47.422Z
