session_id,unit_id,phase,task,status,ordering
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence04,normal,llm,done,13
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence04,normal,manual,done,13
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence05,normal,llm,done,14
0d5c3671-4e5b-44c6-a871-3af69c43d1db,essay0003_sentence05,normal,manual,done,14
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence01,active,manual,todo,0
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence01,normal,llm,todo,0
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence01,normal,manual,done,0
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence02,active,manual,todo,1
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence02,normal,llm,todo,1
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence02,normal,manual,done,1
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence03,active,manual,todo,2
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence03,normal,llm,todo,2
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence03,normal,manual,done,2
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence04,active,manual,todo,3
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence04,normal,llm,todo,3
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence04,normal,manual,done,3
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence05,active,manual,todo,4
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence05,normal,llm,todo,4
0d82891c-9584-4cdf-9d42-f885c980e737,essay0001_sentence05,normal,manual,done,4
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence01,normal,llm,todo,5
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence01,normal,manual,done,5
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence02,normal,llm,todo,6
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence02,normal,manual,done,6
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence03,normal,llm,todo,7
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence03,normal,manual,done,7
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence04,normal,llm,todo,8
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence04,normal,manual,done,8
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence05,normal,llm,todo,9
0d82891c-9584-4cdf-9d42-f885c980e737,essay0002_sentence05,normal,manual,done,9
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence01,normal,llm,todo,10
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence01,normal,manual,done,10
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence02,normal,llm,todo,11
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence02,normal,manual,done,11
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence03,normal,llm,todo,12
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence03,normal,manual,done,12
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence04,normal,llm,todo,13
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence04,normal,manual,done,13
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence05,normal,llm,todo,14
0d82891c-9584-4cdf-9d42-f885c980e737,essay0003_sentence05,normal,manual,done,14
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence01,active,manual,todo,0
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence01,normal,llm,todo,0
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence01,normal,manual,done,0
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence02,active,manual,todo,1
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence02,normal,llm,todo,1
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence02,normal,manual,done,1
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence03,active,manual,todo,2
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence03,normal,llm,todo,2
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence03,normal,manual,done,2
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence04,active,manual,todo,3
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence04,normal,llm,todo,3
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence04,normal,manual,done,3
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence05,active,manual,todo,4
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence05,normal,llm,todo,4
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0001_sentence05,normal,manual,done,4
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence01,normal,llm,todo,5
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence01,normal,manual,done,5
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence02,normal,llm,todo,6
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence02,normal,manual,done,6
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence03,normal,llm,todo,7
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence03,normal,manual,done,7
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence04,normal,llm,todo,8
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence04,normal,manual,done,8
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence05,normal,llm,todo,9
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0002_sentence05,normal,manual,done,9
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence01,normal,llm,todo,10
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence01,normal,manual,done,10
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence02,normal,llm,todo,11
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence02,normal,manual,done,11
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence03,normal,llm,todo,12
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence03,normal,manual,done,12
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence04,normal,llm,todo,13
1013ec61-a406-4db5-8467-015dbc5b06d4,essay0003_sentence04,normal,manual,done,13
