session_id,unit_id,phase,task,status,ordering
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence04,normal,manual,done,13
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence05,active,manual,done,14
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence05,normal,llm,done,14
036dd13c-1feb-43b1-a77f-b1379f3982be,essay0003_sentence05,normal,manual,done,14
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence01,active,manual,done,0
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence01,normal,llm,done,0
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence01,normal,manual,done,0
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence02,active,manual,done,1
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence02,normal,llm,done,1
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence02,normal,manual,done,1
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence03,active,manual,done,2
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence03,normal,llm,done,2
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence03,normal,manual,done,2
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence04,active,manual,done,3
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence04,normal,llm,done,3
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence04,normal,manual,done,3
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence05,active,manual,done,4
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence05,normal,llm,done,4
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0001_sentence05,normal,manual,done,4
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence01,normal,llm,done,5
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence01,normal,manual,done,5
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence02,normal,llm,done,6
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence02,normal,manual,done,6
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence03,normal,llm,done,7
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence03,normal,manual,done,7
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence04,normal,llm,done,8
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence04,normal,manual,done,8
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence05,normal,llm,done,9
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0002_sentence05,normal,manual,done,9
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence01,normal,llm,done,10
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence01,normal,manual,done,10
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence02,normal,llm,done,11
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence02,normal,manual,done,11
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence03,normal,llm,done,12
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence03,normal,manual,done,12
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence04,normal,llm,done,13
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence04,normal,manual,done,13
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence05,normal,llm,done,14
0522c35b-eb1b-4e0b-a925-1a45df31a699,essay0003_sentence05,normal,manual,done,14
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence01,active,manual,todo,0
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence01,normal,llm,todo,0
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence01,normal,manual,done,0
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence02,active,manual,todo,1
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence02,normal,llm,todo,1
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence02,normal,manual,done,1
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence03,active,manual,todo,2
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence03,normal,llm,todo,2
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence03,normal,manual,done,2
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence04,active,manual,todo,3
05e182f7-9bdd-4ced-aa6b-8fbb7e733403,essay0001_sentence04,normal,llm,todo,3
